"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,term
,,,andi,,,andi,,,,,,andi
,,,,,,,andrade,,,,,andrade
,,,andre,,,,,,,,,andre
,,,andrea,,,andrea,,,,,,andrea
,,,andres,,,,,,,,,andres
,,,andrew,,,,,,,,,andrew
,,,,,,,andrews,,,,,andrews
,,,andy,,,,,,,,,andy
anex,,,,,,,,,,,,anex
,,,angel,,,angel,,,,,,angel
,,,angela,,,angela,,,,,,angela
,,,angelica,,,angelica,,,,,,angelica
,,,angelina,,,angelina,,,,,,angelina
,,,angelique,,,angelique,,,,,,angelique
,,,angelo,,,,,,,,,angelo
,,,,anger,,,,anger,,,,anger
,,,,angers,,,,,,,True,angers
,,,angie,,,angie,,,,,,angie
,,,,angle,,,,angle,,,,angle
,,,,angles,,,,,,,True,angles
,angry,,,,,,,,,,,angry
,,,anika,,,anika,,,,,,anika
,animal,,,animal,,,,,,,,animal
,,,,animals,,,,,,,True,animals
,,,aniya,,,aniya,,,,,,aniya
,,,aniyah,,,aniyah,,,,,,aniyah
,,,anna,,,anna,,,,,,anna
,,,annabel,,,annabel,,,,,,annabel
,,,annabella,,,annabella,,,,,,annabella
,,,annabelle,,,annabelle,,,,,,annabelle
,,,annalee,,,annalee,,,,,,annalee
,,,annalise,,,annalise,,,,,,annalise
,,,anne,,,anne,,,,,,anne
annex,,,,,,,,,,,,annex
,,,annie,,,annie,,,,,,annie
,,,annika,,,annika,,,,,,annika
,,,,,,,,announce,,,,announce
,annual,,,annual,,,,,,,,annual
,,,,annuals,,,,,,,True,annuals
annx,,,,,,,,,,,,annx
,another,,,,,another,,,,,,another
,,,ansley,,,ansley,,,,,,ansley
,,,anson,,,,,,,,,anson
,,,,answer,,,,answer,,,,answer
,,,,answers,,,,,,,True,answers
,,,anthony,,,,anthony,,,,,anthony
,,,,,,,,anticipate,,,,anticipate
,,,anton,,,,,,,,,anton
,,,antonella,,,antonella,,,,,,antonella
,,,antonio,,,,,,,,,antonio
anx,,,,,,,,,,,,anx
,,,,anxieties,,,,,,,True,anxieties
,,,,anxiety,,,,,,,,anxiety
,anxious,,,,,,,,,,,anxious
,any,any,,,,,,,,,,any
,,,anya,,,anya,,,,,,anya
,,,,anybodies,,,,,,,True,anybodies
,,,,anybody,,anybody,,,,,,anybody
,,,,,,anyone,,,,,,anyone
,,,,anything,,anything,,,,,,anything
,,,,anythings,,,,,,,True,anythings
,,anyway,,,,,,,,,,anyway
,,anywhere,,anywhere,,,,,,,,anywhere
,,,,anywheres,,,,,,,True,anywheres
,apart,apart,,,,,,,,,,apart
,,,,apartment,,,,,,,,apartment
,,,,apartments,,,,,,,True,apartments
,,,apollo,,,,,,,,,apollo
,,,,,,,,apologize,,,,apologize
,,,,appeal,,,,appeal,,,,appeal
,,,,appeals,,,,,,,True,appeals
,,,,,,,,appear,,,,appear
,,,,appearance,,,,,,,,appearance
,,,,appearances,,,,,,,True,appearances
,,,,apple,,,,,,,,apple
,,,,apples,,,,,,,True,apples
,,,,application,,,,,,,,application
,,,,applications,,,,,,,True,applications
,,,,,,,,apply,,,,apply
,,,,appointment,,,,,,,,appointment
,,,,appointments,,,,,,,True,appointments
,,,,,,,,appreciate,,,,appreciate
,,,,,,,,approach,,,,approach
,appropriate,,,,,,,appropriate,,,,appropriate
,,,,,,,,approve,,,,approve
,,,april,,,april,,,,,,april
,,,arabella,,,arabella,,,,,,arabella
,,,aranza,,,aranza,,,,,,aranza
arc,,,,,,,,,,,,arc
arcade,,,,,,,,,,,,arcade
,,,archer,,,,archer,,,,,archer
,,,,,,,,are,,,,are
,,,,area,,,,,,,,area
,,,,areas,,,,,,,True,areas
,,,,,,,arellano,,,,,arellano
,,,arely,,,arely,,,,,,arely
,,,ares,,,,,,,,,ares
,,,,,,,,argue,,,,argue
,,,,argument,,,,,,,,argument
,,,,arguments,,,,,,,True,arguments
,,,ari,,,ari,,,,,,ari
,,,aria,,,aria,,,,,,aria
,,,ariadne,,,ariadne,,,,,,ariadne
,,,ariah,,,ariah,,,,,,ariah
,,,arian,,,,,,,,,arian
,,,ariana,,,ariana,,,,,,ariana
,,,arianna,,,arianna,,,,,,arianna
,,,,,,,arias,,,,,arias
,,,ariel,,,ariel,,,,,,ariel
,,,ariella,,,ariella,,,,,,ariella
,,,arielle,,,arielle,,,,,,arielle
,,,,,,,,arise,,,,arise
,,,,,,,,arisen,True,,,arisen
,,,ariya,,,ariya,,,,,,ariya
,,,ariyah,,,ariyah,,,,,,ariyah
,,,arjun,,,,,,,,,arjun
,,,arlo,,,,,,,,,arlo
,,,,arm,,,,arm,,,,arm
,,,armando,,,,,,,,,armando
,,,armani,,,armani,,,,,,armani
,,,,armies,,,,,,,True,armies
,,,,arms,,,,,,,True,arms
,,,,,,,armstrong,,,,,armstrong
,,,,army,,,,,,,,army
,,,,,,,arnold,,,,,arnold
,,,aron,,,,,,,,,aron
,,,,,,,,arose,,True,,arose
,,around,,,around,,,,,,,around
,,,,arrival,,,,,,,,arrival
,,,,arrivals,,,,,,,True,arrivals
,,,,,,,,arrive,,,,arrive
,,,,,,,arroyo,,,,,arroyo
,,,,art,,,,,,,,art
,,,arthur,,,,,,,,,arthur
,,,,article,,,,,,,,article
,,,,articles,,,,,,,True,articles
,,,,arts,,,,,,,True,arts
,,,arturo,,,,,,,,,arturo
,,,arya,,,arya,,,,,,arya
,,,aryan,,,,,,,,,aryan
,,,aryanna,,,aryanna,,,,,,aryanna
,,as,,,,,,,,,,as
,,,asa,,,,,,,,,asa
,,,asher,,,,,,,,,asher
,,,ashley,,,ashley,ashley,,,,,ashley
,,,ashlyn,,,ashlyn,,,,,,ashlyn
,,,ashlynn,,,ashlynn,,,,,,ashlynn
,,,ashton,,,,,,,,,ashton
,,aside,,aside,,,,,,,,aside
,,,,asides,,,,,,,True,asides
,,,,ask,,,,ask,,,,ask
,,,,asks,,,,,,,True,asks
,asleep,,,,,,,,,,,asleep
,,,,aspect,,,,,,,,aspect
,,,,aspects,,,,,,,True,aspects
,,,aspen,,,aspen,,,,,,aspen
,,,,assignment,,,,,,,,assignment
,,,,assignments,,,,,,,True,assignments
,,,,assist,,,,assist,,,,assist
,,,,assistance,,,,,,,,assistance
,,,,assistances,,,,,,,True,assistances
,,,,assistant,,,,,,,,assistant
,,,,assistants,,,,,,,True,assistants
,,,,assists,,,,,,,True,assists
,,,,associate,,,,associate,,,,associate
,,,,associates,,,,,,,True,associates
,,,,association,,,,,,,,association
,,,,associations,,,,,,,True,associations
,,,,,,,,assume,,,,assume
,,,,assumption,,,,,,,,assumption
,,,,assumptions,,,,,,,True,assumptions
,,,,,,,,assure,,,,assure
,,,astrid,,,astrid,,,,,,astrid
,,,,,at,,,,,,,at
,,,,,,,,ate,,True,,ate
,,,athena,,,athena,,,,,,athena
,,,,,,,atkins,,,,,atkins
,,,,,,,atkinson,,,,,atkinson
,,,atlas,,,,,,,,,atlas
,,,,atmosphere,,,,,,,,atmosphere
,,,,atmospheres,,,,,,,True,atmospheres
,,,,,,,,attach,,,,attach
,,,,attack,,,,attack,,,,attack
,,,,attacks,,,,,,,True,attacks
,,,,attempt,,,,attempt,,,,attempt
,,,,attempts,,,,,,,True,attempts
,,,,,,,,attend,,,,attend
,,,,attention,,,,,,,,attention
,,,,attentions,,,,,,,True,attentions
,,,atticus,,,,,,,,,atticus
,,,,attitude,,,,,,,,attitude
,,,,attitudes,,,,,,,True,attitudes
,,,,,,,,attract,,,,attract
,,,aubree,,,aubree,,,,,,aubree
,,,aubrey,,,aubrey,,,,,,aubrey
,,,aubrie,,,aubrie,,,,,,aubrie
,,,aubriella,,,aubriella,,,,,,aubriella
,,,aubrielle,,,aubrielle,,,,,,aubrielle
,,,,audience,,,,,,,,audience
,,,,audiences,,,,,,,True,audiences
,,,audrey,,,audrey,,,,,,audrey
,,,audrina,,,audrina,,,,,,audrina
,,,august,,,,,,,,,august
,,,augustine,,,,,,,,,augustine
,,,augustus,,,,,,,,,augustus
,,,aurelia,,,aurelia,,,,,,aurelia
,,,aurora,,,aurora,,,,,,aurora
,,,austin,,,,austin,,,,,austin
,,,,author,,,,author,,,,author
,,,,authors,,,,,,,True,authors
,automatic,,,,,,,,,,,automatic
,,automatically,,,,,,,,,,automatically
,,,autumn,,,autumn,,,,,,autumn
av,,,,,,,,,,,,av
,,,ava,,,ava,,,,,,ava
,,,avah,,,avah,,,,,,avah
,available,,,,,,,,,,,available
,,,,,,,avalos,,,,,avalos
,,,avalyn,,,avalyn,,,,,,avalyn
,,,avalynn,,,avalynn,,,,,,avalynn
ave,,,,,,,,,,,,ave
aven,,,,,,,,,,,,aven
avenu,,,,,,,,,,,,avenu
avenue,,,,,,,,,,,,avenue
,,,,average,,,,average,,,,average
,,,,averages,,,,,,,True,averages
,,,averi,,,averi,,,,,,averi
,,,averie,,,averie,,,,,,averie
,,,avery,,,avery,avery,,,,,avery
,,,avi,,,,,,,,,avi
,,,aviana,,,aviana,,,,,,aviana
,,,avianna,,,avianna,,,,,,avianna
,,,,,,,avila,,,,,avila
avn,,,,,,,,,,,,avn
avnue,,,,,,,,,,,,avnue
,,,,,,,,avoid,,,,avoid
,,,,award,,,,award,,,,award
,,,,awards,,,,,,,True,awards
,aware,,,,,,,,,,,aware
,,,,awareness,,,,,,,,awareness
,,,,awarenesses,,,,,,,True,awarenesses
,away,away,,,,,,,,,,away
,,,axel,,,,,,,,,axel
,,,axl,,,,,,,,,axl
,,,axton,,,,,,,,,axton
,,,aya,,,aya,,,,,,aya
,,,ayaan,,,,,,,,,ayaan
,,,,,,,ayala,,,,,ayala
,,,ayan,,,,,,,,,ayan
,,,ayden,,,,,,,,,ayden
,,,aydin,,,,,,,,,aydin
,,,,,,,ayers,,,,,ayers
,,,ayla,,,ayla,,,,,,ayla
,,,ayleen,,,ayleen,,,,,,ayleen
,,,aylin,,,aylin,,,,,,aylin
,,,azalea,,,azalea,,,,,,azalea
,,,azariah,,,azariah,,,,,,azariah
,,,,babies,,,,,,,True,babies
,,,,baby,,,,baby,,,,baby
,,back,,back,,,,,,,,back
,background,,,background,,,,,,,,background
,,,,backgrounds,,,,,,,True,backgrounds
,,,,backs,,,,,,,True,backs
,,bad,,bad,,,,,,,,bad
,,,,bads,,,,,,,True,bads
,,,,bag,,,,bag,,,,bag
,,,,bags,,,,,,,True,bags
,,,bailee,,,bailee,,,,,,bailee
,,,bailey,,,bailey,bailey,,,,,bailey
,,,,bake,,,,bake,,,,bake
,,,,,,,baker,,,,,baker
,,,,bakes,,,,,,,True,bakes
,,,,balance,,,,balance,,,,balance
,,,,balances,,,,,,,True,balances
,,,,,,,baldwin,,,,,baldwin
,,,,ball,,,ball,ball,,,,ball
,,,,,,,ballard,,,,,ballard
,,,,balls,,,,,,,True,balls
,,,,band,,,,band,,,,band
,,,,bands,,,,,,,True,bands
,,,,bank,,,,bank,,,,bank
,,,,banks,,,banks,,,,True,banks
,,,,bar,,,,bar,,,,bar
,,,,,,,barajas,,,,,barajas
,,,barbara,,,barbara,,,,,,barbara
,,,,,,,barber,,,,,barber
,,,,,,,barker,,,,,barker
,,,,,,,barnes,,,,,barnes
,,,,,,,barnett,,,,,barnett
,,,,,,,barr,,,,,barr
,,,,,,,barrera,,,,,barrera
,,,barrett,,,,barrett,,,,,barrett
,,,,,,,barron,,,,,barron
,,,,,,,barry,,,,,barry
,,,,bars,,,,,,,True,bars
,,,,,,,bartlett,,,,,bartlett
,,,,,,,barton,,,,,barton
,,,,base,,,,base,,,,base
,,,,baseball,,,,,,,,baseball
,,,,baseballs,,,,,,,True,baseballs
,,,,bases,,,,,,,True,bases
,basic,,,,,,,,,,,basic
,,basically,,,,,,,,,,basically
,,,,basis,,,,,,,,basis
,,,,basises,,,,,,,True,basises
,,,,basket,,,,,,,,basket
,,,,baskets,,,,,,,True,baskets
,,,,,,,bass,,,,,bass
,,,,bat,,,,bat,,,,bat
,,,,,,,bates,,,,,bates
,,,,bath,,,,,,,,bath
,,,,bathroom,,,,,,,,bathroom
,,,,bathrooms,,,,,,,True,bathrooms
,,,,baths,,,,,,,True,baths
,,,,bats,,,,,,,True,bats
,,,,battle,,,,battle,,,,battle
,,,,battles,,,,,,,True,battles
,,,,,,,bauer,,,,,bauer
,,,,,,,bautista,,,,,bautista
,,,,,,,baxter,,,,,baxter
,,,baylee,,,baylee,,,,,,baylee
,,,baylor,,,,,,,,,baylor
bayoo,,,,,,,,,,,,bayoo
bayou,,,,,,,,,,,,bayou
bch,,,,,,,,,,,,bch
,,,,,,,,be,,,,be
beach,,,,beach,,,,beach,,,,beach
,,,,beachs,,,,,,,True,beachs
,,,,,,,bean,,,,,bean
,,,,bear,,,,bear,,,,bear
,,,,,,,beard,,,,,beard
,,,,bears,,,,,,,True,bears
,,,,,,,beasley,,,,,beasley
,,,,beat,,,,beat,,True,,beat
,,,,,,,,beaten,True,,,beaten
,,,beatrice,,,beatrice,,,,,,beatrice
,,,,beats,,,,,,,True,beats
,,,beau,,,,,,,,,beau
,beautiful,,,beautiful,,,,,,,,beautiful
,,,,beautifuls,,,,,,,True,beautifuls
,,,,,,,,became,,True,,became
,,,,,,,beck,,,,,beck
,,,,,,,becker,,,,,becker
,,,beckett,,,,,,,,,beckett
,,,beckham,,,,,,,,,beckham
,,,,,,,,become,True,,,become
,,,,bed,,,,bed,,,,bed
,,,,bedroom,,,,,,,,bedroom
,,,,bedrooms,,,,,,,True,bedrooms
,,,,beds,,,,,,,True,beds
,,,,,,,,been,,,,been
,,,,beer,,,,,,,,beer
,,,,beers,,,,,,,True,beers
,,before,,,before,,,,,,,before
,,,,,,,,began,,True,,began
,,,,,,,,begin,,,,begin
,beginning,,,beginning,,,,,,,,beginning
,,,,beginnings,,,,,,,True,beginnings
,,,,,,,,begun,True,,,begun
,,,,,,,,behave,,,,behave
,,behind,,,behind,,,,,,,behind
,,,,,,,beil,,,,,beil
,,,,being,,,,being,,,,being
,,,,beings,,,,,,,True,beings
,,,belen,,,belen,,,,,,belen
,,,,,,,,believe,,,,believe
,,,,bell,,,bell,bell,,,,bell
,,,bella,,,bella,,,,,,bella
,,,belle,,,belle,,,,,,belle
,,,,bells,,,,,,,True,bells
,,,,,,,,belong,,,,belong
,,below,,,,,,,,,,below
,,,,belt,,,,belt,,,,belt
,,,,,,,beltran,,,,,beltran
,,,,belts,,,,,,,True,belts
,,,ben,,,,,,,,,ben
,,,,bench,,,,bench,,,,bench
,,,,benchs,,,,,,,True,benchs
bend,,,,bend,,,,bend,,,,bend
,,,,,,,bender,,,,,bender
,,,,bends,,,,,,,True,bends
,,,,benefit,,,,benefit,,,,benefit
,,,,benefits,,,,,,,True,benefits
,,,,,,,benitez,,,,,benitez
,,,benjamin,,,,benjamin,,,,,benjamin
,,,bennett,,,,bennett,,,,,bennett
,,,benson,,,,benson,,,,,benson
,,,,,,,,bent,True,,,bent
,,,bentlee,,,,,,,,,bentlee
,,,bentley,,,,bentley,,,,,bentley
,,,benton,,,,benton,,,,,benton
,,,,,,,berg,,,,,berg
,,,,,,,berger,,,,,berger
,,,,,,,bernal,,,,,bernal
,,,,,,,bernard,,,,,bernard
,,,,,,,berry,,,,,berry
,best,best,,,,,best,,,,,best
,,,,bet,,,,bet,True,,,bet
,,,bethany,,,bethany,,,,,,bethany
,,,,bets,,,,,,,True,bets
,,,,,,,,betted,,True,,betted
,better,better,,,,,,,,,,better
,,between,,,between,,,,,,,between
,,,bexley,,,bexley,,,,,,bexley
,,,,beyond,beyond,,,,,,,beyond
,,,,beyonds,,,,,,,True,beyonds
bg,,,,,,,,,,,,bg
bgs,,,,,,,,,,,,bgs
,,,bianca,,,bianca,,,,,,bianca
,,,,bicycle,,,,bicycle,,,,bicycle
,,,,bicycles,,,,,,,True,bicycles
,,,,bid,,,,bid,True,,,bid
,,,,bids,,,,,,,True,bids
,big,,,big,,,,,,,,big
,,,,bigs,,,,,,,True,bigs
,,,,bike,,,,bike,,,,bike
,,,,bikes,,,,,,,True,bikes
,,,,bill,,,,bill,,,,bill
,,,,bills,,,,,,,True,bills
,,,billy,,,,,,,,,billy
,,,,bird,,,,,,,,bird
,,,,birds,,,,,,,True,birds
,,,,birth,,,,birth,,,,birth
,,,,birthday,,,,,,,,birthday
,,,,birthdays,,,,,,,True,birthdays
,,,,births,,,,,,,True,births
,,,bishop,,,,bishop,,,,,bishop
,,,,bit,,,,bit,,True,,bit
,,,,bite,,,,bite,,,,bite
