"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense",term
,,almost,,,,,,,,,,,almost
,,,alondra,,,alondra,,,,,,,alondra
,alone,alone,,,,,,,,,,,alone
,,along,,,along,,,,,,,,along
,,,alonso,,,,,,,,,,alonso
,,,alonzo,,,,,,,,,,alonzo
,,,alora,,,alora,,,,,,,alora
,,already,,,,,,,,,,,already
,,also,,,,,,,,,,,also
,alternative,,,alternative,,,,,,,,,alternative
,,,,alternatives,,,,,,,True,,alternatives
,,altogether,,,,,,,,,,,altogether
,,,,,,,alvarado,,,,,,alvarado
,,,,,,,alvarez,,,,,,alvarez
,,,alvaro,,,,,,,,,,alvaro
,,,alvin,,,,,,,,,,alvin
,,always,,,,,,,,,,,always
aly,,,,,,,,,,,,,aly
,,,alyson,,,alyson,,,,,,,alyson
,,,alyssa,,,alyssa,,,,,,,alyssa
,,,amalia,,,amalia,,,,,,,amalia
,,,amanda,,,amanda,,,,,,,amanda
,,,amani,,,amani,,,,,,,amani
,,,amara,,,amara,,,,,,,amara
,,,amari,,,amari,,,,,,,amari
,,,amaris,,,amaris,,,,,,,amaris
,,,amaya,,,amaya,,,,,,,amaya
,,,amayah,,,amayah,,,,,,,amayah
,amazing,,,,,,,amazing,,,,,amazing
,,,,,,,,amazinged,,True,,,amazinged
,,,,,,,,amazinging,,,,True,amazinging
,,,amber,,,amber,,,,,,,amber
,,,,ambition,,,,,,,,,ambition
,,,,ambitions,,,,,,,True,,ambitions
,,,ameer,,,,,,,,,,ameer
,,,amelia,,,amelia,,,,,,,amelia
,,,amelie,,,amelie,,,,,,,amelie
,,,amia,,,amia,,,,,,,amia
,,,amina,,,amina,,,,,,,amina
,,,aminah,,,aminah,,,,,,,aminah
,,,amir,,,,,,,,,,amir
,,,amira,,,amira,,,,,,,amira
,,,amirah,,,amirah,,,,,,,amirah
,,,amiya,,,amiya,,,,,,,amiya
,,,amiyah,,,amiyah,,,,,,,amiyah
,,,,,among,,,,,,,,among
,,,amora,,,amora,,,,,,,amora
,,,amos,,,,,,,,,,amos
,,,,amount,,,,amount,,,,,amount
,,,,,,,,amounted,,True,,,amounted
,,,,,,,,amounting,,,,True,amounting
,,,,amounts,,,,,,,True,,amounts
,,,amy,,,amy,,,,,,,amy
,,,ana,,,ana,,,,,,,ana
,,,anabelle,,,anabelle,,,,,,,anabelle
,,,anahi,,,anahi,,,,,,,anahi
,,,anakin,,,,,,,,,,anakin
,,,analia,,,analia,,,,,,,analia
,,,,analysis,,,,,,,,,analysis
,,,,analysises,,,,,,,True,,analysises
,,,,analyst,,,,,,,,,analyst
,,,,analysts,,,,,,,True,,analysts
,,,anastasia,,,anastasia,,,,,,,anastasia
,,,anaya,,,anaya,,,,,,,anaya
,,,,anchorage,,,,,,,,,anchorage
,,,anders,,,,,,,,,,anders
,,,,,,,andersen,,,,,,andersen
,,,anderson,,,,anderson,,,,,,anderson
,,,andi,,,andi,,,,,,,andi
,,,,,,,andrade,,,,,,andrade
,,,andre,,,,,,,,,,andre
,,,andrea,,,andrea,,,,,,,andrea
,,,andres,,,,,,,,,,andres
,,,andrew,,,,,,,,,,andrew
,,,,,,,andrews,,,,,,andrews
,,,andy,,,,,,,,,,andy
anex,,,,,,,,,,,,,anex
,,,angel,,,angel,,,,,,,angel
,,,angela,,,angela,,,,,,,angela
,,,angelica,,,angelica,,,,,,,angelica
,,,angelina,,,angelina,,,,,,,angelina
,,,angelique,,,angelique,,,,,,,angelique
,,,angelo,,,,,,,,,,angelo
,,,,anger,,,,anger,,,,,anger
,,,,,,,,angered,,True,,,angered
,,,,,,,,angering,,,,True,angering
,,,,angers,,,,,,,True,,angers
,,,angie,,,angie,,,,,,,angie
,,,,angle,,,,angle,,,,,angle
,,,,,,,,angled,,True,,,angled
,,,,angles,,,,,,,True,,angles
,,,,,,,,angling,,,,True,angling
,angry,,,,,,,,,,,,angry
,,,anika,,,anika,,,,,,,anika
,animal,,,animal,,,,,,,,,animal
,,,,animals,,,,,,,True,,animals
,,,aniya,,,aniya,,,,,,,aniya
,,,aniyah,,,aniyah,,,,,,,aniyah
,,,anna,,,anna,,,,,,,anna
,,,annabel,,,annabel,,,,,,,annabel
,,,annabella,,,annabella,,,,,,,annabella
,,,annabelle,,,annabelle,,,,,,,annabelle
,,,annalee,,,annalee,,,,,,,annalee
,,,annalise,,,annalise,,,,,,,annalise
,,,anne,,,anne,,,,,,,anne
annex,,,,,,,,,,,,,annex
,,,annie,,,annie,,,,,,,annie
,,,annika,,,annika,,,,,,,annika
,,,,,,,,announce,,,,,announce
,,,,,,,,announced,,True,,,announced
,,,,,,,,announcing,,,,True,announcing
,annual,,,annual,,,,,,,,,annual
,,,,annuals,,,,,,,True,,annuals
annx,,,,,,,,,,,,,annx
,another,,,,,another,,,,,,,another
,,,ansley,,,ansley,,,,,,,ansley
,,,anson,,,,,,,,,,anson
,,,,answer,,,,answer,,,,,answer
,,,,,,,,answered,,True,,,answered
,,,,,,,,answering,,,,True,answering
,,,,answers,,,,,,,True,,answers
,,,anthony,,,,anthony,,,,,,anthony
,,,,,,,,anticipate,,,,,anticipate
,,,,,,,,anticipated,,True,,,anticipated
,,,,,,,,anticipating,,,,True,anticipating
,,,anton,,,,,,,,,,anton
,,,antonella,,,antonella,,,,,,,antonella
,,,antonio,,,,,,,,,,antonio
anx,,,,,,,,,,,,,anx
,,,,anxieties,,,,,,,True,,anxieties
,,,,anxiety,,,,,,,,,anxiety
,anxious,,,,,,,,,,,,anxious
,any,any,,,,,,,,,,,any
,,,anya,,,anya,,,,,,,anya
,,,,anybodies,,,,,,,True,,anybodies
,,,,anybody,,anybody,,,,,,,anybody
,,,,,,anyone,,,,,,,anyone
,,,,anything,,anything,,,,,,,anything
,,,,anythings,,,,,,,True,,anythings
,,anyway,,,,,,,,,,,anyway
,,anywhere,,anywhere,,,,,,,,,anywhere
,,,,anywheres,,,,,,,True,,anywheres
,apart,apart,,,,,,,,,,,apart
,,,,apartment,,,,,,,,,apartment
,,,,apartments,,,,,,,True,,apartments
,,,apollo,,,,,,,,,,apollo
,,,,,,,,apologize,,,,,apologize
,,,,,,,,apologized,,True,,,apologized
,,,,,,,,apologizing,,,,True,apologizing
,,,,appeal,,,,appeal,,,,,appeal
,,,,,,,,appealed,,True,,,appealed
,,,,,,,,appealing,,,,True,appealing
,,,,appeals,,,,,,,True,,appeals
,,,,,,,,appear,,,,,appear
,,,,appearance,,,,,,,,,appearance
,,,,appearances,,,,,,,True,,appearances
,,,,,,,,appeared,,True,,,appeared
,,,,,,,,appearing,,,,True,appearing
,,,,apple,,,,,,,,,apple
,,,,apples,,,,,,,True,,apples
,,,,application,,,,,,,,,application
,,,,applications,,,,,,,True,,applications
,,,,,,,,apply,,,,,apply
,,,,,,,,applyed,,True,,,applyed
,,,,,,,,applying,,,,True,applying
,,,,appointment,,,,,,,,,appointment
,,,,appointments,,,,,,,True,,appointments
,,,,,,,,appreciate,,,,,appreciate
,,,,,,,,appreciated,,True,,,appreciated
,,,,,,,,appreciating,,,,True,appreciating
,,,,,,,,approach,,,,,approach
,,,,,,,,approached,,True,,,approached
,,,,,,,,approaching,,,,True,approaching
,appropriate,,,,,,,appropriate,,,,,appropriate
,,,,,,,,appropriated,,True,,,appropriated
,,,,,,,,appropriating,,,,True,appropriating
,,,,,,,,approve,,,,,approve
,,,,,,,,approved,,True,,,approved
,,,,,,,,approving,,,,True,approving
,,,april,,,april,,,,,,,april
,,,arabella,,,arabella,,,,,,,arabella
,,,aranza,,,aranza,,,,,,,aranza
arc,,,,,,,,,,,,,arc
arcade,,,,,,,,,,,,,arcade
,,,archer,,,,archer,,,,,,archer
,,,,,,,,are,,,,,are
,,,,area,,,,,,,,,area
,,,,areas,,,,,,,True,,areas
,,,,,,,,ared,,True,,,ared
,,,,,,,arellano,,,,,,arellano
,,,arely,,,arely,,,,,,,arely
,,,ares,,,,,,,,,,ares
,,,,,,,,argue,,,,,argue
,,,,,,,,argued,,True,,,argued
,,,,,,,,arguing,,,,True,arguing
,,,,argument,,,,,,,,,argument
,,,,arguments,,,,,,,True,,arguments
,,,ari,,,ari,,,,,,,ari
,,,aria,,,aria,,,,,,,aria
,,,ariadne,,,ariadne,,,,,,,ariadne
,,,ariah,,,ariah,,,,,,,ariah
,,,arian,,,,,,,,,,arian
,,,ariana,,,ariana,,,,,,,ariana
,,,arianna,,,arianna,,,,,,,arianna
,,,,,,,arias,,,,,,arias
,,,ariel,,,ariel,,,,,,,ariel
,,,ariella,,,ariella,,,,,,,ariella
,,,arielle,,,arielle,,,,,,,arielle
,,,,,,,,aring,,,,True,aring
,,,,,,,,arise,,,,,arise
,,,,,,,,arised,,True,,,arised
,,,,,,,,arisen,True,,,,arisen
,,,,,,,,arising,,,,True,arising
,,,ariya,,,ariya,,,,,,,ariya
,,,ariyah,,,ariyah,,,,,,,ariyah
,,,arjun,,,,,,,,,,arjun
,,,arlo,,,,,,,,,,arlo
,,,,arm,,,,arm,,,,,arm
,,,armando,,,,,,,,,,armando
,,,armani,,,armani,,,,,,,armani
,,,,,,,,armed,,True,,,armed
,,,,armies,,,,,,,True,,armies
,,,,,,,,arming,,,,True,arming
,,,,arms,,,,,,,True,,arms
,,,,,,,armstrong,,,,,,armstrong
,,,,army,,,,,,,,,army
,,,,,,,arnold,,,,,,arnold
,,,aron,,,,,,,,,,aron
,,,,,,,,arose,,True,,,arose
,,around,,,around,,,,,,,,around
,,,,arrival,,,,,,,,,arrival
,,,,arrivals,,,,,,,True,,arrivals
,,,,,,,,arrive,,,,,arrive
,,,,,,,,arrived,,True,,,arrived
,,,,,,,,arriving,,,,True,arriving
,,,,,,,arroyo,,,,,,arroyo
,,,,art,,,,,,,,,art
,,,arthur,,,,,,,,,,arthur
,,,,article,,,,,,,,,article
,,,,articles,,,,,,,True,,articles
,,,,arts,,,,,,,True,,arts
,,,arturo,,,,,,,,,,arturo
,,,arya,,,arya,,,,,,,arya
,,,aryan,,,,,,,,,,aryan
,,,aryanna,,,aryanna,,,,,,,aryanna
,,as,,,,,,,,,,,as
,,,asa,,,,,,,,,,asa
,,,asher,,,,,,,,,,asher
,,,ashley,,,ashley,ashley,,,,,,ashley
,,,ashlyn,,,ashlyn,,,,,,,ashlyn
,,,ashlynn,,,ashlynn,,,,,,,ashlynn
,,,ashton,,,,,,,,,,ashton
,,aside,,aside,,,,,,,,,aside
,,,,asides,,,,,,,True,,asides
,,,,ask,,,,ask,,,,,ask
,,,,,,,,asked,,True,,,asked
,,,,,,,,asking,,,,True,asking
,,,,asks,,,,,,,True,,asks
,asleep,,,,,,,,,,,,asleep
,,,,aspect,,,,,,,,,aspect
,,,,aspects,,,,,,,True,,aspects
,,,aspen,,,aspen,,,,,,,aspen
,,,,assignment,,,,,,,,,assignment
,,,,assignments,,,,,,,True,,assignments
,,,,assist,,,,assist,,,,,assist
,,,,assistance,,,,,,,,,assistance
,,,,assistances,,,,,,,True,,assistances
,,,,assistant,,,,,,,,,assistant
,,,,assistants,,,,,,,True,,assistants
,,,,,,,,assisted,,True,,,assisted
,,,,,,,,assisting,,,,True,assisting
,,,,assists,,,,,,,True,,assists
,,,,associate,,,,associate,,,,,associate
,,,,,,,,associated,,True,,,associated
,,,,associates,,,,,,,True,,associates
,,,,,,,,associating,,,,True,associating
,,,,association,,,,,,,,,association
,,,,associations,,,,,,,True,,associations
,,,,,,,,assume,,,,,assume
,,,,,,,,assumed,,True,,,assumed
,,,,,,,,assuming,,,,True,assuming
,,,,assumption,,,,,,,,,assumption
,,,,assumptions,,,,,,,True,,assumptions
,,,,,,,,assure,,,,,assure
,,,,,,,,assured,,True,,,assured
,,,,,,,,assuring,,,,True,assuring
,,,astrid,,,astrid,,,,,,,astrid
,,,,,at,,,,,,,,at
,,,,,,,,ate,,True,,,ate
,,,athena,,,athena,,,,,,,athena
,,,,,,,atkins,,,,,,atkins
,,,,,,,atkinson,,,,,,atkinson
,,,atlas,,,,,,,,,,atlas
,,,,atmosphere,,,,,,,,,atmosphere
,,,,atmospheres,,,,,,,True,,atmospheres
,,,,,,,,attach,,,,,attach
,,,,,,,,attached,,True,,,attached
,,,,,,,,attaching,,,,True,attaching
,,,,attack,,,,attack,,,,,attack
,,,,,,,,attacked,,True,,,attacked
,,,,,,,,attacking,,,,True,attacking
,,,,attacks,,,,,,,True,,attacks
,,,,attempt,,,,attempt,,,,,attempt
,,,,,,,,attempted,,True,,,attempted
,,,,,,,,attempting,,,,True,attempting
,,,,attempts,,,,,,,True,,attempts
,,,,,,,,attend,,,,,attend
,,,,,,,,attended,,True,,,attended
,,,,,,,,attending,,,,True,attending
,,,,attention,,,,,,,,,attention
,,,,attentions,,,,,,,True,,attentions
,,,atticus,,,,,,,,,,atticus
,,,,attitude,,,,,,,,,attitude
,,,,attitudes,,,,,,,True,,attitudes
,,,,,,,,attract,,,,,attract
,,,,,,,,attracted,,True,,,attracted
,,,,,,,,attracting,,,,True,attracting
,,,aubree,,,aubree,,,,,,,aubree
,,,aubrey,,,aubrey,,,,,,,aubrey
,,,aubrie,,,aubrie,,,,,,,aubrie
,,,aubriella,,,aubriella,,,,,,,aubriella
,,,aubrielle,,,aubrielle,,,,,,,aubrielle
,,,,audience,,,,,,,,,audience
,,,,audiences,,,,,,,True,,audiences
,,,audrey,,,audrey,,,,,,,audrey
,,,audrina,,,audrina,,,,,,,audrina
,,,august,,,,,,,,,,august
,,,augustine,,,,,,,,,,augustine
,,,augustus,,,,,,,,,,augustus
,,,aurelia,,,aurelia,,,,,,,aurelia
,,,aurora,,,aurora,,,,,,,aurora
,,,austin,,,,austin,,,,,,austin
,,,,author,,,,author,,,,,author
,,,,,,,,authored,,True,,,authored
,,,,,,,,authoring,,,,True,authoring
,,,,authors,,,,,,,True,,authors
,automatic,,,,,,,,,,,,automatic
,,automatically,,,,,,,,,,,automatically
,,,autumn,,,autumn,,,,,,,autumn
av,,,,,,,,,,,,,av
,,,ava,,,ava,,,,,,,ava
,,,avah,,,avah,,,,,,,avah
,available,,,,,,,,,,,,available
,,,,,,,avalos,,,,,,avalos
,,,avalyn,,,avalyn,,,,,,,avalyn
,,,avalynn,,,avalynn,,,,,,,avalynn
ave,,,,,,,,,,,,,ave
aven,,,,,,,,,,,,,aven
avenu,,,,,,,,,,,,,avenu
avenue,,,,,,,,,,,,,avenue
,,,,average,,,,average,,,,,average
,,,,,,,,averaged,,True,,,averaged
,,,,averages,,,,,,,True,,averages
,,,,,,,,averaging,,,,True,averaging
,,,averi,,,averi,,,,,,,averi
,,,averie,,,averie,,,,,,,averie
,,,avery,,,avery,avery,,,,,,avery
,,,avi,,,,,,,,,,avi
,,,aviana,,,aviana,,,,,,,aviana
,,,avianna,,,avianna,,,,,,,avianna
,,,,,,,avila,,,,,,avila
avn,,,,,,,,,,,,,avn
avnue,,,,,,,,,,,,,avnue
,,,,,,,,avoid,,,,,avoid
,,,,,,,,avoided,,True,,,avoided
,,,,,,,,avoiding,,,,True,avoiding
,,,,award,,,,award,,,,,award
,,,,,,,,awarded,,True,,,awarded
,,,,,,,,awarding,,,,True,awarding
,,,,awards,,,,,,,True,,awards
,aware,,,,,,,,,,,,aware
,,,,awareness,,,,,,,,,awareness
,,,,awarenesses,,,,,,,True,,awarenesses
,away,away,,,,,,,,,,,away
,,,axel,,,,,,,,,,axel
,,,axl,,,,,,,,,,axl
,,,axton,,,,,,,,,,axton
,,,aya,,,aya,,,,,,,aya
,,,ayaan,,,,,,,,,,ayaan
,,,,,,,ayala,,,,,,ayala
,,,ayan,,,,,,,,,,ayan
,,,ayden,,,,,,,,,,ayden
,,,aydin,,,,,,,,,,aydin
,,,,,,,ayers,,,,,,ayers
,,,ayla,,,ayla,,,,,,,ayla
,,,ayleen,,,ayleen,,,,,,,ayleen
,,,aylin,,,aylin,,,,,,,aylin
,,,azalea,,,azalea,,,,,,,azalea
,,,azariah,,,azariah,,,,,,,azariah
,,,,babies,,,,,,,True,,babies
,,,,baby,,,,baby,,,,,baby
,,,,,,,,babyed,,True,,,babyed
,,,,,,,,babying,,,,True,babying
,,back,,back,,,,,,,,,back
,background,,,background,,,,,,,,,background
,,,,backgrounds,,,,,,,True,,backgrounds
,,,,backs,,,,,,,True,,backs
,,bad,,bad,,,,,,,,,bad
,,,,bads,,,,,,,True,,bads
,,,,bag,,,,bag,,,,,bag
,,,,,,,,baged,,True,,,baged
,,,,,,,,baging,,,,True,baging
