term,"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_medical","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense"
allison,,,,allison,,,,,allison,,,,,
allotted,,,,,,,,,,allotted,,True,,
allow,,,,,,,,,,allow,,,,
allowed,,,,,,,,,,allowed,,True,,
allowing,,,,,,,,,,allowing,,,,True
ally,ally,,,,,,,,,,,,,
allyson,,,,allyson,,,,,,,,,,
alma,,,,alma,,,,,,,,,,
almost,,,almost,,,,,,,,,,,
alondra,,,,alondra,,,,,,,,,,
alone,,alone,alone,,,,,,,,,,,
along,,,along,,,,along,,,,,,,
alonso,,,,alonso,,,,,,,,,,
alonzo,,,,alonzo,,,,,,,,,,
alora,,,,alora,,,,,,,,,,
already,,,already,,,,,,,,,,,
also,,,also,,,,,,,,,,,
alternative,,alternative,,,,alternative,,,,,,,,
alternatives,,,,,,alternatives,,,,,,,True,
altogether,,,altogether,,,,,,,,,,,
alvarado,,,,,,,,,alvarado,,,,,
alvarez,,,,,,,,,alvarez,,,,,
alvaro,,,,alvaro,,,,,,,,,,
alvin,,,,alvin,,,,,,,,,,
always,,,always,,,,,,,,,,,
aly,aly,,,,,,,,,,,,,
alyson,,,,alyson,,,,,,,,,,
alyssa,,,,alyssa,,,,,,,,,,
amalia,,,,amalia,,,,,,,,,,
amanda,,,,amanda,,,,,,,,,,
amani,,,,amani,,,,,,,,,,
amara,,,,amara,,,,,,,,,,
amari,,,,amari,,,,,,,,,,
amaris,,,,amaris,,,,,,,,,,
amaya,,,,amaya,,,,,,,,,,
amayah,,,,amayah,,,,,,,,,,
amazing,,amazing,,,,,,,,amazing,,,,
amazinged,,,,,,,,,,amazinged,,True,,
amazinging,,,,,,,,,,amazinging,,,,True
amber,,,,amber,,,,,,,,,,
ambition,,,,,,ambition,,,,,,,,
ambitions,,,,,,ambitions,,,,,,,True,
ameer,,,,ameer,,,,,,,,,,
amelia,,,,amelia,,,,,,,,,,
amelie,,,,amelie,,,,,,,,,,
amia,,,,amia,,,,,,,,,,
amina,,,,amina,,,,,,,,,,
aminah,,,,aminah,,,,,,,,,,
amir,,,,amir,,,,,,,,,,
amira,,,,amira,,,,,,,,,,
amirah,,,,amirah,,,,,,,,,,
amiya,,,,amiya,,,,,,,,,,
amiyah,,,,amiyah,,,,,,,,,,
among,,,,,,,among,,,,,,,
amora,,,,amora,,,,,,,,,,
amos,,,,amos,,,,,,,,,,
amount,,,,,,amount,,,,amount,,,,
amounted,,,,,,,,,,amounted,,True,,
amounting,,,,,,,,,,amounting,,,,True
amounts,,,,,,amounts,,,,,,,True,
amy,,,,amy,,,,,,,,,,
ana,,,,ana,,,,,,,,,,
anabelle,,,,anabelle,,,,,,,,,,
anahi,,,,anahi,,,,,,,,,,
anakin,,,,anakin,,,,,,,,,,
analia,,,,analia,,,,,,,,,,
analysis,,,,,,analysis,,,,,,,,
analysises,,,,,,analysises,,,,,,,True,
analyst,,,,,,analyst,,,,,,,,
analysts,,,,,,analysts,,,,,,,True,
anastasia,,,,anastasia,,,,,,,,,,
anaya,,,,anaya,,,,,,,,,,
anchorage,,,,,,anchorage,,,,,,,,
anders,,,,anders,,,,,,,,,,
andersen,,,,,,,,,andersen,,,,,
anderson,,,,anderson,,,,,anderson,,,,,
andi,,,,andi,,,,,,,,,,
andrade,,,,,,,,,andrade,,,,,
andre,,,,andre,,,,,,,,,,
andrea,,,,andrea,,,,,,,,,,
andres,,,,andres,,,,,,,,,,
andrew,,,,andrew,,,,,,,,,,
andrews,,,,,,,,,andrews,,,,,
andy,,,,andy,,,,,,,,,,
anex,anex,,,,,,,,,,,,,
angel,,,,angel,,,,,,,,,,
angela,,,,angela,,,,,,,,,,
angelica,,,,angelica,,,,,,,,,,
angelina,,,,angelina,,,,,,,,,,
angelique,,,,angelique,,,,,,,,,,
angelo,,,,angelo,,,,,,,,,,
anger,,,,,,anger,,,,anger,,,,
angered,,,,,,,,,,angered,,True,,
angering,,,,,,,,,,angering,,,,True
angers,,,,,,angers,,,,,,,True,
angie,,,,angie,,,,,,,,,,
angle,,,,,,angle,,,,angle,,,,
angled,,,,,,,,,,angled,,True,,
angles,,,,,,angles,,,,,,,True,
angling,,,,,,,,,,angling,,,,True
angry,,angry,,,,,,,,,,,,
anika,,,,anika,,,,,,,,,,
animal,,animal,,,,animal,,,,,,,,
animals,,,,,,animals,,,,,,,True,
aniya,,,,aniya,,,,,,,,,,
aniyah,,,,aniyah,,,,,,,,,,
anna,,,,anna,,,,,,,,,,
annabel,,,,annabel,,,,,,,,,,
annabella,,,,annabella,,,,,,,,,,
annabelle,,,,annabelle,,,,,,,,,,
annalee,,,,annalee,,,,,,,,,,
annalise,,,,annalise,,,,,,,,,,
anne,,,,anne,,,,,,,,,,
annex,annex,,,,,,,,,,,,,
annie,,,,annie,,,,,,,,,,
annika,,,,annika,,,,,,,,,,
announce,,,,,,,,,,announce,,,,
announced,,,,,,,,,,announced,,True,,
announcing,,,,,,,,,,announcing,,,,True
annual,,annual,,,,annual,,,,,,,,
annuals,,,,,,annuals,,,,,,,True,
annx,annx,,,,,,,,,,,,,
another,,another,,,,,,another,,,,,,
ansley,,,,ansley,,,,,,,,,,
anson,,,,anson,,,,,,,,,,
answer,,,,,,answer,,,,answer,,,,
answered,,,,,,,,,,answered,,True,,
answering,,,,,,,,,,answering,,,,True
answers,,,,,,answers,,,,,,,True,
anthony,,,,anthony,,,,,anthony,,,,,
anticipate,,,,,,,,,,anticipate,,,,
anticipated,,,,,,,,,,anticipated,,True,,
anticipating,,,,,,,,,,anticipating,,,,True
anton,,,,anton,,,,,,,,,,
antonella,,,,antonella,,,,,,,,,,
antonio,,,,antonio,,,,,,,,,,
anx,anx,,,,,,,,,,,,,
anxieties,,,,,,anxieties,,,,,,,True,
anxiety,,,,,,anxiety,,,,,,,,
anxious,,anxious,,,,,,,,,,,,
any,,any,any,,,,,,,,,,,
anya,,,,anya,,,,,,,,,,
anybodies,,,,,,anybodies,,,,,,,True,
anybody,,,,,,anybody,,anybody,,,,,,
anyone,,,,,,,,anyone,,,,,,
anything,,,,,,anything,,anything,,,,,,
anythings,,,,,,anythings,,,,,,,True,
anyway,,,anyway,,,,,,,,,,,
anywhere,,,anywhere,,,anywhere,,,,,,,,
anywheres,,,,,,anywheres,,,,,,,True,
apart,,apart,apart,,,,,,,,,,,
apartment,,,,,,apartment,,,,,,,,
apartments,,,,,,apartments,,,,,,,True,
apollo,,,,apollo,,,,,,,,,,
apologize,,,,,,,,,,apologize,,,,
apologized,,,,,,,,,,apologized,,True,,
apologizing,,,,,,,,,,apologizing,,,,True
appeal,,,,,,appeal,,,,appeal,,,,
appealed,,,,,,,,,,appealed,,True,,
appealing,,,,,,,,,,appealing,,,,True
appeals,,,,,,appeals,,,,,,,True,
appear,,,,,,,,,,appear,,,,
appearance,,,,,,appearance,,,,,,,,
appearances,,,,,,appearances,,,,,,,True,
appeared,,,,,,,,,,appeared,,True,,
appearing,,,,,,,,,,appearing,,,,True
apple,,,,,,apple,,,,,,,,
apples,,,,,,apples,,,,,,,True,
application,,,,,,application,,,,,,,,
applications,,,,,,applications,,,,,,,True,
applied,,,,,,,,,,applied,,True,,
apply,,,,,,,,,,apply,,,,
applyed,,,,,,,,,,applyed,,True,,
applying,,,,,,,,,,applying,,,,True
appointment,,,,,,appointment,,,,,,,,
appointments,,,,,,appointments,,,,,,,True,
appreciate,,,,,,,,,,appreciate,,,,
appreciated,,,,,,,,,,appreciated,,True,,
appreciating,,,,,,,,,,appreciating,,,,True
approach,,,,,,,,,,approach,,,,
approached,,,,,,,,,,approached,,True,,
approaching,,,,,,,,,,approaching,,,,True
appropriate,,appropriate,,,,,,,,appropriate,,,,
appropriated,,,,,,,,,,appropriated,,True,,
appropriating,,,,,,,,,,appropriating,,,,True
approve,,,,,,,,,,approve,,,,
approved,,,,,,,,,,approved,,True,,
approving,,,,,,,,,,approving,,,,True
april,,,,april,,,,,,,,,,
arabella,,,,arabella,,,,,,,,,,
aranza,,,,aranza,,,,,,,,,,
arc,arc,,,,,,,,,,,,,
arcade,arcade,,,,,,,,,,,,,
archer,,,,archer,,,,,archer,,,,,
are,,,,,,,,,,are,,,,
area,,,,,,area,,,,,,,,
areas,,,,,,areas,,,,,,,True,
ared,,,,,,,,,,ared,,True,,
arellano,,,,,,,,,arellano,,,,,
arely,,,,arely,,,,,,,,,,
ares,,,,ares,,,,,,,,,,
argue,,,,,,,,,,argue,,,,
argued,,,,,,,,,,argued,,True,,
arguing,,,,,,,,,,arguing,,,,True
argument,,,,,,argument,,,,,,,,
arguments,,,,,,arguments,,,,,,,True,
ari,,,,ari,,,,,,,,,,
aria,,,,aria,,,,,,,,,,
ariadne,,,,ariadne,,,,,,,,,,
ariah,,,,ariah,,,,,,,,,,
arian,,,,arian,,,,,,,,,,
ariana,,,,ariana,,,,,,,,,,
arianna,,,,arianna,,,,,,,,,,
arias,,,,,,,,,arias,,,,,
ariel,,,,ariel,,,,,,,,,,
ariella,,,,ariella,,,,,,,,,,
arielle,,,,arielle,,,,,,,,,,
aring,,,,,,,,,,aring,,,,True
arise,,,,,,,,,,arise,,,,
arised,,,,,,,,,,arised,,True,,
arisen,,,,,,,,,,arisen,True,,,
arising,,,,,,,,,,arising,,,,True
ariya,,,,ariya,,,,,,,,,,
ariyah,,,,ariyah,,,,,,,,,,
arjun,,,,arjun,,,,,,,,,,
arlo,,,,arlo,,,,,,,,,,
arm,,,,,,arm,,,,arm,,,,
armando,,,,armando,,,,,,,,,,
armani,,,,armani,,,,,,,,,,
armed,,,,,,,,,,armed,,True,,
armies,,,,,,armies,,,,,,,True,
arming,,,,,,,,,,arming,,,,True
arms,,,,,,arms,,,,,,,True,
armstrong,,,,,,,,,armstrong,,,,,
army,,,,,,army,,,,,,,,
arnold,,,,,,,,,arnold,,,,,
aron,,,,aron,,,,,,,,,,
arose,,,,,,,,,,arose,,True,,
around,,,around,,,,around,,,,,,,
arrival,,,,,,arrival,,,,,,,,
arrivals,,,,,,arrivals,,,,,,,True,
arrive,,,,,,,,,,arrive,,,,
arrived,,,,,,,,,,arrived,,True,,
arriving,,,,,,,,,,arriving,,,,True
arroyo,,,,,,,,,arroyo,,,,,
art,,,,,,art,,,,,,,,
arthur,,,,arthur,,,,,,,,,,
article,,,,,,article,,,,,,,,
articles,,,,,,articles,,,,,,,True,
articulate,,,,,,,,,,articulate,,,,
articulated,,,,,,,,,,articulated,,True,,
arts,,,,,,arts,,,,,,,True,
arturo,,,,arturo,,,,,,,,,,
arya,,,,arya,,,,,,,,,,
aryan,,,,aryan,,,,,,,,,,
aryanna,,,,aryanna,,,,,,,,,,
as,,,as,,,,,,,,,,,
asa,,,,asa,,,,,,,,,,
asher,,,,asher,,,,,,,,,,
ashley,,,,ashley,,,,,ashley,,,,,
ashlyn,,,,ashlyn,,,,,,,,,,
ashlynn,,,,ashlynn,,,,,,,,,,
ashton,,,,ashton,,,,,,,,,,
aside,,,aside,,,aside,,,,,,,,
asides,,,,,,asides,,,,,,,True,
ask,,,,,,ask,,,,ask,,,,
asked,,,,,,,,,,asked,,True,,
asking,,,,,,,,,,asking,,,,True
asks,,,,,,asks,,,,,,,True,
asleep,,asleep,,,,,,,,,,,,
aspect,,,,,,aspect,,,,,,,,
aspects,,,,,,aspects,,,,,,,True,
aspen,,,,aspen,,,,,,,,,,
assess,,,,,,,,,,assess,,,,
assessed,,,,,,,,,,assessed,,True,,
assign,,,,,,,,,,assign,,,,
assigned,,,,,,,,,,assigned,,True,,
assignment,,,,,,assignment,,,,,,,,
assignments,,,,,,assignments,,,,,,,True,
assist,,,,,,assist,,,,assist,,,,
assistance,,,,,,assistance,,,,,,,,
assistances,,,,,,assistances,,,,,,,True,
assistant,,,,,,assistant,,,,,,,,
assistants,,,,,,assistants,,,,,,,True,
assisted,,,,,,,,,,assisted,,True,,
assisting,,,,,,,,,,assisting,,,,True
assists,,,,,,assists,,,,,,,True,
associate,,,,,,associate,,,,associate,,,,
associated,,,,,,,,,,associated,,True,,
associates,,,,,,associates,,,,,,,True,
associating,,,,,,,,,,associating,,,,True
association,,,,,,association,,,,,,,,
associations,,,,,,associations,,,,,,,True,
assume,,,,,,,,,,assume,,,,
assumed,,,,,,,,,,assumed,,True,,
assuming,,,,,,,,,,assuming,,,,True
assumption,,,,,,assumption,,,,,,,,
assumptions,,,,,,assumptions,,,,,,,True,
assure,,,,,,,,,,assure,,,,
assured,,,,,,,,,,assured,,True,,
assuring,,,,,,,,,,assuring,,,,True
astrid,,,,astrid,,,,,,,,,,
at,,,,,,,at,,,,,,,
ate,,,,,,,,,,ate,,True,,
athena,,,,athena,,,,,,,,,,
atkins,,,,,,,,,atkins,,,,,
atkinson,,,,,,,,,atkinson,,,,,
atlas,,,,atlas,,,,,,,,,,
atmosphere,,,,,,atmosphere,,,,,,,,
atmospheres,,,,,,atmospheres,,,,,,,True,
attach,,,,,,,,,,attach,,,,
attached,,,,,,,,,,attached,,True,,
attaching,,,,,,,,,,attaching,,,,True
attack,,,,,,attack,,,,attack,,,,
attacked,,,,,,,,,,attacked,,True,,
attacking,,,,,,,,,,attacking,,,,True
attacks,,,,,,attacks,,,,,,,True,
attempt,,,,,,attempt,,,,attempt,,,,
attempted,,,,,,,,,,attempted,,True,,
attempting,,,,,,,,,,attempting,,,,True
attempts,,,,,,attempts,,,,,,,True,
attend,,,,,,,,,,attend,,,,
attended,,,,,,,,,,attended,,True,,
attending,,,,,,,,,,attending,,,,True
attention,,,,,,attention,,,,,,,,
attentions,,,,,,attentions,,,,,,,True,
atticus,,,,atticus,,,,,,,,,,
attitude,,,,,,attitude,,,,,,,,
attitudes,,,,,,attitudes,,,,,,,True,
attract,,,,,,,,,,attract,,,,
attracted,,,,,,,,,,attracted,,True,,
attracting,,,,,,,,,,attracting,,,,True
aubree,,,,aubree,,,,,,,,,,
aubrey,,,,aubrey,,,,,,,,,,
aubrie,,,,aubrie,,,,,,,,,,
aubriella,,,,aubriella,,,,,,,,,,
aubrielle,,,,aubrielle,,,,,,,,,,
audience,,,,,,audience,,,,,,,,
audiences,,,,,,audiences,,,,,,,True,
audrey,,,,audrey,,,,,,,,,,
audrina,,,,audrina,,,,,,,,,,
august,,,,august,,,,,,,,,,
augustine,,,,augustine,,,,,,,,,,
augustus,,,,augustus,,,,,,,,,,
aurelia,,,,aurelia,,,,,,,,,,
aurora,,,,aurora,,,,,,,,,,
austin,,,,austin,,,,,austin,,,,,
author,,,,,,author,,,,author,,,,
authored,,,,,,,,,,authored,,True,,
authoring,,,,,,,,,,authoring,,,,True
authors,,,,,,authors,,,,,,,True,
automatic,,automatic,,,,,,,,,,,,
automatically,,,automatically,,,,,,,,,,,
autumn,,,,autumn,,,,,,,,,,
av,av,,,,,,,,,,,,,
ava,,,,ava,,,,,,,,,,
avah,,,,avah,,,,,,,,,,
available,,available,,,,,,,,,,,,
avalos,,,,,,,,,avalos,,,,,
avalyn,,,,avalyn,,,,,,,,,,
avalynn,,,,avalynn,,,,,,,,,,
ave,ave,,,,,,,,,,,,,
aven,aven,,,,,,,,,,,,,
avenu,avenu,,,,,,,,,,,,,
avenue,avenue,,,,,,,,,,,,,
average,,,,,,average,,,,average,,,,
averaged,,,,,,,,,,averaged,,True,,
averages,,,,,,averages,,,,,,,True,
averaging,,,,,,,,,,averaging,,,,True
averi,,,,averi,,,,,,,,,,
averie,,,,averie,,,,,,,,,,
avery,,,,avery,,,,,avery,,,,,
avi,,,,avi,,,,,,,,,,
aviana,,,,aviana,,,,,,,,,,
avianna,,,,avianna,,,,,,,,,,
avila,,,,,,,,,avila,,,,,
avn,avn,,,,,,,,,,,,,
avnue,avnue,,,,,,,,,,,,,
avoid,,,,,,,,,,avoid,,,,
avoided,,,,,,,,,,avoided,,True,,
avoiding,,,,,,,,,,avoiding,,,,True
award,,,,,,award,,,,award,,,,
awarded,,,,,,,,,,awarded,,True,,
awarding,,,,,,,,,,awarding,,,,True
awards,,,,,,awards,,,,,,,True,
aware,,aware,,,,,,,,,,,,
awareness,,,,,,awareness,,,,,,,,
awarenesses,,,,,,awarenesses,,,,,,,True,
away,,away,away,,,,,,,,,,,
axel,,,,axel,,,,,,,,,,
axl,,,,axl,,,,,,,,,,
axton,,,,axton,,,,,,,,,,
aya,,,,aya,,,,,,,,,,
ayaan,,,,ayaan,,,,,,,,,,
ayala,,,,,,,,,ayala,,,,,
ayan,,,,ayan,,,,,,,,,,
ayden,,,,ayden,,,,,,,,,,
